id,dom_ok,mltask_ok,causa_provavel
A1US1Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A1US2Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A1US3Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A1US4Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A1US5Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A1US6Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A1US7Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A1US8Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A1US9Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A1US10Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A1US1Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A1US2Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A1US3Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A1US4Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A1US5Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A1US6Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A1US7Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A1US8Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A1US9Ll,Nao,Sim,erro de DOMINIO (estagio 1)
A1US10Ll,Nao,Nao,erro de DOMINIO (estagio 1)
A1US1O1,Nao,Nao,erro de DOMINIO (estagio 1)
A1US2O1,Nao,Sim,erro de DOMINIO (estagio 1)
A1US3O1,Nao,Sim,erro de DOMINIO (estagio 1)
A1US4O1,Sim,Sim,dominio e task ok -> diferenca vem do MAPPING (estagio 3)
A1US5O1,Nao,Sim,erro de DOMINIO (estagio 1)
A1US6O1,Nao,Nao,erro de DOMINIO (estagio 1)
A1US7O1,Nao,Sim,erro de DOMINIO (estagio 1)
A1US8O1,Nao,Nao,erro de DOMINIO (estagio 1)
A1US9O1,Nao,Nao,erro de DOMINIO (estagio 1)
A1US10O1,Nao,Nao,erro de DOMINIO (estagio 1)
A2US1Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A2US2Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A2US3Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A2US4Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A2US5Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A2US6Ge,Nao,Sim,erro de DOMINIO (estagio 1)
A2US7Ge,Nao,Nao,erro de DOMINIO (estagio 1)
A2US8Ge,Nao,Nao,erro de DOMINIO (estagio 1)
