id,dominio_gabarito,features_refair,features_proxy_intersecao,features_dominio_ontologia,refair_dentro_do_dominio,refair_falsos_positivos
A1US1Ge,Transportation,,geography; race,geography; race,—,
A1US2Ge,Transportation,age; gender,geography; race,geography; race,Não,age; gender
A1US3Ge,Transportation,,geography; race,geography; race,—,
A1US4Ge,Transportation,,geography; race,geography; race,—,
A1US5Ge,Transportation,age; caste; gender; geography; race; sex,geography; race,geography; race,Não,age; caste; gender; sex
A1US6Ge,Transportation,,geography; race,geography; race,—,
A1US7Ge,Transportation,author; gender; textual references to people and their demographics,geography; race,geography; race,Não,author; gender; textual references to people and their demographics
A1US8Ge,Transportation,,geography; race,geography; race,—,
A1US9Ge,Transportation,,geography; race,geography; race,—,
A1US10Ge,Transportation,,geography; race,geography; race,—,
A1US1Ll,Transportation,age; ethnicity; gender; race; sex,geography; race,geography; race,Não,age; ethnicity; gender; sex
A1US2Ll,Transportation,age; ethnicity; family wealth; financial status; gender; geography; race; sex,geography; race,geography; race,Não,age; ethnicity; family wealth; financial status; gender; sex
A1US3Ll,Transportation,,geography; race,geography; race,—,
A1US4Ll,Transportation,,geography; race,geography; race,—,
A1US5Ll,Transportation,,geography; race,geography; race,—,
A1US6Ll,Transportation,author; gender; textual references to people and their demographics,geography; race,geography; race,Não,author; gender; textual references to people and their demographics
A1US7Ll,Transportation,,geography; race,geography; race,—,
A1US8Ll,Transportation,,geography; race,geography; race,—,
A1US9Ll,Transportation,,geography; race,geography; race,—,
A1US10Ll,Transportation,,geography; race,geography; race,—,
A1US1O1,Transportation,,geography; race,geography; race,—,
A1US2O1,Transportation,gender,geography; race,geography; race,Não,gender
A1US3O1,Transportation,author; geography; news provider; textual references to people and their demographics,geography; race,geography; race,Não,author; news provider; textual references to people and their demographics
A1US4O1,Transportation,,geography; race,geography; race,—,
A1US5O1,Transportation,,geography; race,geography; race,—,
A1US6O1,Transportation,,geography; race,geography; race,—,
A1US7O1,Transportation,age; caste; gender; geography; race; sex,geography; race,geography; race,Não,age; caste; gender; sex
A1US8O1,Transportation,,geography; race,geography; race,—,
A1US9O1,Transportation,,geography; race,geography; race,—,
A1US10O1,Transportation,,geography; race,geography; race,—,
A2US1Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US2Ge,Psychology,author; geography; news provider; textual references to people and their demographics,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,author; news provider; textual references to people and their demographics
A2US3Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US4Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
A2US5Ge,Psychology,age; gender,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Sim,
A2US6Ge,Psychology,author; geography; textual references to people and their demographics,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,author; textual references to people and their demographics
A2US7Ge,Psychology,age; ethnicity; gender; geography; sex,age; ethnicity; gender; geography,age; ethnicity; gender; geography,Não,sex
A2US8Ge,Psychology,,age; ethnicity; gender; geography,age; ethnicity; gender; geography,—,
